renewable_resource,carrier,installed_capacity_mw,official_connection_bus,response_zone_id,constraint_group_count,mode_id,branch,flow_sign,normalized_positive_relief,relief_mw_per_mw_curtailment,mapping_method
13477-2,wind,2.55,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13477-2,wind,2.55,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13477-2,wind,2.55,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13478-1,wind,3.0,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13478-1,wind,3.0,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13478-1,wind,3.0,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13479-9,wind,3.4,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13479-9,wind,3.4,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13479-9,wind,3.4,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13671-1,solar,5.8,1361,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13871-1,solar,4.95,1381,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13872-1,wind,2.0,1381,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13873-1,solar,2.5,1381,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14073-3,wind,6.45,1401,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.1273010513369163,0.06536023271343079,official_model_generator_bus_assignment
14073-3,wind,6.45,1401,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.08281088745533732,0.06536023271347416,official_model_generator_bus_assignment
14073-3,wind,6.45,1401,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.08986443953462425,0.0653602327132267,official_model_generator_bus_assignment
14078-1,wind,2.5,1401,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.1273010513369163,0.06536023271343079,official_model_generator_bus_assignment
14078-1,wind,2.5,1401,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.08281088745533732,0.06536023271347416,official_model_generator_bus_assignment
14078-1,wind,2.5,1401,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.08986443953462425,0.0653602327132267,official_model_generator_bus_assignment
14078-2,wind,1.3,1401,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.1273010513369163,0.06536023271343079,official_model_generator_bus_assignment
14078-2,wind,1.3,1401,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.08281088745533732,0.06536023271347416,official_model_generator_bus_assignment
14078-2,wind,1.3,1401,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.08986443953462425,0.0653602327132267,official_model_generator_bus_assignment
14078-3,wind,1.19,1401,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.1273010513369163,0.06536023271343079,official_model_generator_bus_assignment
14078-3,wind,1.19,1401,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.08281088745533732,0.06536023271347416,official_model_generator_bus_assignment
14078-3,wind,1.19,1401,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.08986443953462425,0.0653602327132267,official_model_generator_bus_assignment
14371-1,solar,4.99,1431,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14372-1,solar,35.0,1431,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14373-1,wind,45.0,1431,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14424-1,solar,4.95,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14424-2,solar,4.95,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14471-1,wind,4.0,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14472-1,wind,0.85,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14473-1,solar,5.95,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14474-1,wind,8.75,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14475-1,solar,4.95,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14476-1,solar,12.0,1441,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14606-1,solar,15.0,1461,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14771-1,wind,500.0,14720,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14871-1,wind,1.7,1481,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14872-1,solar,3.95,1481,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14873-1,solar,32.7,1481,C003-Z001,0,,,,,,official_model_generator_bus_assignment
14971-1,solar,85.0,1491,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15112-1,wind,12.0,1511,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15171-TW,wind,46.0,1511,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15172-DW,wind,12.55,1511,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15174-DW,wind,20.0,1511,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15175-1,wind,9.999,1511,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15271-1,wind,56.4,1521,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15471-1,solar,4.0,1541,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15473-1,solar,4.0,1541,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15571-1,wind,5.4,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15571-2,wind,12.0,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15571-DW,wind,5.95,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15572-1,wind,65.7,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15573-1,wind,20.0,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15573-2,wind,3.0,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15574-1,wind,57.0,1551,C003-Z001,0,,,,,,official_model_generator_bus_assignment
15771-1,wind,1.98,1571,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.8031079921996259,0.41234007663659916,official_model_generator_bus_assignment
15771-1,wind,1.98,1571,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.5224315499204739,0.41234007663641303,official_model_generator_bus_assignment
15771-1,wind,1.98,1571,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.5669305072282758,0.41234007663721967,official_model_generator_bus_assignment
15772-1,wind,3.0,1571,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.8031079921996259,0.41234007663659916,official_model_generator_bus_assignment
15772-1,wind,3.0,1571,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.5224315499204739,0.41234007663641303,official_model_generator_bus_assignment
15772-1,wind,3.0,1571,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.5669305072282758,0.41234007663721967,official_model_generator_bus_assignment
15971-1,solar,100.0,1591,C003-Z001,0,,,,,,official_model_generator_bus_assignment
16271-1,solar,10.0,1621,C003-Z001,0,,,,,,official_model_generator_bus_assignment
16371-1,wind,3.4,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16371-1,wind,3.4,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16371-1,wind,3.4,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16372-2,wind,3.4,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16372-2,wind,3.4,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16372-2,wind,3.4,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16373-3,wind,6.8,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16373-3,wind,6.8,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16373-3,wind,6.8,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16374-4,wind,7.65,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16374-4,wind,7.65,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16374-4,wind,7.65,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16375-1,wind,3.96,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16375-1,wind,3.96,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16375-1,wind,3.96,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16376-6,wind,4.95,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16376-6,wind,4.95,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16376-6,wind,4.95,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16377-1,wind,9.0,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16377-1,wind,9.0,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16377-1,wind,9.0,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16378-1,wind,1.598,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16378-1,wind,1.598,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16378-1,wind,1.598,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16379-2,wind,0.29,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16379-2,wind,0.29,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16379-2,wind,0.29,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16382-1,wind,10.225,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16382-1,wind,10.225,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16382-1,wind,10.225,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16385-1,wind,16.35,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16385-1,wind,16.35,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16385-1,wind,16.35,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16392-1,wind,11.98,1631,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.23225083265007052,0.11924464339042429,official_model_generator_bus_assignment
16392-1,wind,11.98,1631,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.15108200098887667,0.11924464339035247,official_model_generator_bus_assignment
16392-1,wind,11.98,1631,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.16395065624715632,0.11924464339057737,official_model_generator_bus_assignment
16471-1,solar,100.0,16410,C003-Z001,0,,,,,,official_model_generator_bus_assignment
16571-1,wind,37.8,1651,C003-Z001,0,,,,,,official_model_generator_bus_assignment
16572-1,solar,34.0,1651,C003-Z001,0,,,,,,official_model_generator_bus_assignment
16670-1,wind,4.65,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16670-1,wind,4.65,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16670-1,wind,4.65,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16671-1,wind,3.4,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16671-1,wind,3.4,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16671-1,wind,3.4,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16672-2,wind,1.59,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16672-2,wind,1.59,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16672-2,wind,1.59,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16674-1,wind,18.7,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16674-1,wind,18.7,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16674-1,wind,18.7,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16675-2,wind,8.5,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16675-2,wind,8.5,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16675-2,wind,8.5,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16676-1,wind,6.8,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16676-1,wind,6.8,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16676-1,wind,6.8,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16679-3,wind,6.8,1661,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.08708574614390818,0.044712471532730995,official_model_generator_bus_assignment
16679-3,wind,6.8,1661,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.056650340646475936,0.04471247153278281,official_model_generator_bus_assignment
16679-3,wind,6.8,1661,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.06147562558586743,0.04471247153258384,official_model_generator_bus_assignment
16771-1,wind,75.0,1671,C003-Z001,0,,,,,,official_model_generator_bus_assignment
17073-3,hydro,22.5,1701,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.5574481489169888,0.28621083923695584,official_model_generator_bus_assignment
17073-3,hydro,22.5,1701,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.3626268238737643,0.2862108392368115,official_model_generator_bus_assignment
17073-3,hydro,22.5,1701,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.3935141536238673,0.2862108392374113,official_model_generator_bus_assignment
17074-4,hydro,23.0,17010,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.5574749844622874,0.2862246174223462,official_model_generator_bus_assignment
17074-4,hydro,23.0,17010,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.36264428072347693,0.2862246174222014,official_model_generator_bus_assignment
17074-4,hydro,23.0,17010,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.39353309738915887,0.2862246174228018,official_model_generator_bus_assignment
17075-7,wind,1.98,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
17075-7,wind,1.98,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
17075-7,wind,1.98,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
17077-8,wind,0.02,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
17077-8,wind,0.02,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
17077-8,wind,0.02,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
